,continent,year,population,Co2_pp,Total Co2_1000_tonnes
0,Africa,1884,4330000,0.00496,22
1,Africa,1885,4380000,0.00818,37
2,Africa,1886,4430000,0.0105,48
3,Africa,1887,4470000,0.0104,48
4,Africa,1888,4520000,0.0174,81
5,Africa,1889,4570000,0.0281,132
6,Africa,1890,4620000,0.0626,297
7,Africa,1891,4670000,0.0619,297
8,Africa,1892,4720000,0.0989,480
9,Africa,1893,4770000,0.367,1800
10,Africa,1894,4820000,0.49,2430
11,Africa,1895,4880000,0.665,3340
12,Africa,1896,4930000,0.838,4260
13,Africa,1897,4980000,0.93,4780
14,Africa,1898,5030000,1.16,6050
15,Africa,1899,5100000,1.05,5520
16,Africa,1900,9880000,0.437,2330
17,Africa,1901,10030000,0.722,3910
18,Africa,1902,10180000,1.06,5830
19,Africa,1903,11510000,1.4889999999999999,7904
20,Africa,1904,11710000,1.663,8923
21,Africa,1905,11900000,1.928,10235
22,Africa,1906,6920000,2.15,11753
23,Africa,1907,7030000,2.327,12979
24,Africa,1908,7150000,2.448,13396
25,Africa,1909,7270000,2.7350000000000003,15411
26,Africa,1910,7390000,3.0170000000000003,17433
27,Africa,1911,19020000,2.93399,16924
28,Africa,1912,19250000,3.05048,18005
29,Africa,1913,19570000,3.28654,19623
30,Africa,1914,19790000,3.3637,19551
31,Africa,1915,41820000,3.4087,19596
32,Africa,1916,50330000,3.9737199999999997,23241
33,Africa,1917,50800000,4.2644899999999994,25402
34,Africa,1918,51290000,3.99213,24703
35,Africa,1919,49640000,4.05691,25507
36,Africa,1920,52490000,4.42823,28084
37,Africa,1921,53220000,4.317060000000001,27971
38,Africa,1922,53980000,3.65428,23902
39,Africa,1923,54760000,4.31978,28947
40,Africa,1924,55550000,4.4585,30441
41,Africa,1925,53980000,4.67355,32062
42,Africa,1926,54750000,5.051290000000001,34268
43,Africa,1927,59740000,4.92008,33649
44,Africa,1928,66860000,5.12287,34471
45,Africa,1929,67910000,5.06314,35530
46,Africa,1930,68850000,4.61057,33284
47,Africa,1931,69930000,3.6938999999999997,29256
48,Africa,1932,73820000,3.2002,26617
