,index,country,year,population,Co2_pp,continent,Total Co2_1000_tonnes
0,0,Canada,1800,500000,0.00733,North America,4
1,66,Canada,1801,512000,0.00716,North America,4
2,132,Canada,1802,525000,0.00698,North America,4
3,198,Canada,1803,538000,0.00681,North America,4
4,264,Canada,1804,551000,0.00665,North America,4
5,330,Canada,1805,565000,0.00649,North America,4
6,396,Canada,1806,579000,0.00633,North America,4
7,462,Canada,1807,594000,0.00618,North America,4
8,528,Canada,1808,608000,0.00603,North America,4
9,594,Canada,1809,623000,0.00588,North America,4
10,660,Canada,1810,639000,0.00574,North America,4
11,726,Canada,1811,655000,0.0056,North America,4
12,792,Canada,1812,671000,0.00546,North America,4
13,858,Canada,1813,688000,0.00533,North America,4
14,924,Canada,1814,705000,0.0052,North America,4
15,990,Canada,1815,722000,0.00508,North America,4
16,1056,Canada,1816,740000,0.00495,North America,4
17,1122,Canada,1817,759000,0.00483,North America,4
18,1188,Canada,1818,777000,0.00472,North America,4
19,1254,Canada,1819,799000,0.00459,North America,4
20,1320,Canada,1820,822000,0.00446,North America,4
21,1386,Canada,1821,849000,0.00432,North America,4
22,1452,Canada,1822,878000,0.00418,North America,4
23,1518,Canada,1823,910000,0.00403,North America,4
24,1584,Canada,1824,943000,0.00389,North America,4
25,1650,Canada,1825,978000,0.00375,North America,4
26,1716,Canada,1826,1010000,0.00362,North America,4
27,1782,Canada,1827,1050000,0.00349,North America,4
28,1848,Canada,1828,1090000,0.00337,North America,4
29,1914,Canada,1829,1130000,0.00325,North America,4
30,1980,Canada,1830,1170000,0.00313,North America,4
31,2046,Canada,1831,1220000,0.00302,North America,4
32,2112,Canada,1832,1260000,0.00291,North America,4
33,2178,Canada,1833,1310000,0.0028,North America,4
34,2244,Canada,1834,1360000,0.0027,North America,4
35,2310,Canada,1835,1410000,0.0026,North America,4
36,2376,Canada,1836,1460000,0.0025,North America,4
37,2442,Canada,1837,1520000,0.00241,North America,4
38,2508,Canada,1838,1580000,0.00232,North America,4
39,2574,Canada,1839,1640000,0.00224,North America,4
40,2640,Canada,1840,1700000,0.00216,North America,4
41,2706,Canada,1841,1770000,0.00208,North America,4
42,2772,Canada,1842,1830000,0.002,North America,4
43,2838,Canada,1843,1910000,0.00192,North America,4
44,2904,Canada,1844,1980000,0.00185,North America,4
45,2970,Canada,1845,2060000,0.00178,North America,4
46,3036,Canada,1846,2140000,0.012,North America,26
47,3102,Canada,1847,2220000,0.0149,North America,33
48,3168,Canada,1848,2310000,0.0175,North America,40
49,3234,Canada,1849,2390000,0.0199,North America,48
50,3300,Canada,1850,2480000,0.0237,North America,59
51,3366,Canada,1851,2560000,0.0272,North America,70
52,3432,Canada,1852,2640000,0.0319,North America,84
53,3498,Canada,1853,2720000,0.0377,North America,103
54,3564,Canada,1854,2810000,0.0445,North America,125
55,3630,Canada,1855,2890000,0.052,North America,150
56,3696,Canada,1856,2980000,0.0603,North America,180
57,3762,Canada,1857,3070000,0.0705,North America,216
58,3828,Canada,1858,3160000,0.0835,North America,264
59,3894,Canada,1859,3250000,0.0971,North America,315
60,3960,Canada,1860,3320000,0.115,North America,381
61,4026,Canada,1861,3380000,0.136,North America,458
62,4092,Canada,1862,3430000,0.163,North America,561
63,4158,Canada,1863,3470000,0.203,North America,704
64,4224,Canada,1864,3510000,0.24,North America,843
65,4290,Canada,1865,3550000,0.287,North America,1020
