,year,pop_m,yearly_mt_co2_emissions,emissions_per_capita
0,1800,1089380,65594,0.06
1,1801,1051817,63969,0.06
2,1802,1055331,80617,0.08
3,1803,1058887,59073,0.06
4,1804,1062489,63536,0.06
5,1805,1066141,62500,0.06
6,1806,1069837,65405,0.06
7,1807,1073578,72397,0.07
8,1808,1077366,70991,0.07
9,1809,1081202,72664,0.07
10,1810,1087360,78981,0.07
11,1811,1092333,80349,0.07
12,1812,1098616,81625,0.07
13,1813,1105580,82409,0.07
14,1814,1112737,84449,0.08
15,1815,1120090,87170,0.08
16,1816,1127645,90989,0.08
17,1817,1135399,98548,0.09
18,1818,1143358,102781,0.09
19,1819,1151269,101856,0.09
20,1820,1201480,101462,0.08
21,1821,1166693,104116,0.09
22,1822,1174166,108038,0.09
23,1823,1182027,112712,0.1
24,1824,1190013,115162,0.1
25,1825,1198136,121457,0.1
26,1826,1206419,122761,0.1
27,1827,1214846,131473,0.11
28,1828,1223395,133359,0.11
29,1829,1231527,132610,0.11
30,1830,1240023,177967,0.14
31,1831,1246488,166489,0.13
32,1832,1253269,164171,0.13
33,1833,1259576,166487,0.13
34,1834,1265963,177519,0.14
35,1835,1272446,194792,0.15
36,1836,1278933,213782,0.17
37,1837,1285535,212392,0.17
38,1838,1292229,211684,0.16
39,1839,1298868,219298,0.17
40,1840,1306291,237609,0.18
41,1841,1311938,244324,0.19
42,1842,1318395,258770,0.2
43,1843,1324899,264731,0.2
44,1844,1331300,283876,0.21
45,1845,1337911,310066,0.23
46,1846,1344610,315304,0.23
47,1847,1351423,341473,0.25
48,1848,1358323,347152,0.26
49,1849,1364426,369857,0.27
50,1850,1386067,393490,0.28
51,1851,1373685,397330,0.29
52,1852,1376820,414821,0.3
53,1853,1379181,434236,0.31
54,1854,1381670,510060,0.37
55,1855,1384261,520193,0.38
56,1856,1387002,554585,0.4
57,1857,1389871,559859,0.4
58,1858,1392871,568432,0.41
59,1859,1396265,602948,0.43
60,1860,1401278,661907,0.47
61,1861,1404206,695553,0.5
62,1862,1408721,708957,0.5
63,1863,1413615,756339,0.54
64,1864,1418600,815430,0.57
65,1865,1423676,865698,0.61
66,1866,1428842,893088,0.63
67,1867,1434118,956300,0.67
68,1868,1439474,983084,0.68
69,1869,1445443,1043888,0.72
70,1870,1503899,1066656,0.71
71,1871,1459141,1133760,0.78
72,1872,1466943,1254582,0.86
73,1873,1475396,1332942,0.9
74,1874,1483913,1248448,0.84
75,1875,1492563,1354206,0.91
76,1876,1501317,1373543,0.91
77,1877,1510124,1400792,0.93
78,1878,1519027,1411926,0.93
79,1879,1528492,1511960,0.99
80,1880,1540026,1707808,1.11
81,1881,1549289,1767068,1.14
82,1882,1560594,1866699,1.2
83,1883,1572539,1985484,1.26
84,1884,1584646,2008240,1.27
85,1885,1596952,2023252,1.27
86,1886,1609388,2054816,1.28
87,1887,1622011,2157469,1.33
88,1888,1634775,2388680,1.46
